36548
68231,68233
68013,68021
67699,67700
53892,67328
53892,67325
45720,67314
46050,67275
45635,66670
66600,66605
66597,66605
53793,66605
66597,66600
53793,66600
53793,66591
50208,66587
46050,66581
45936,66572
45936,66557
53891,66555
46050,66482
45937,66482
27934,66474
53926,66409
45740,66283
53989,66278
66265,66266
66233,66266
45941,66266
66233,66265
45941,66265
45941,66233
45941,66232
45941,66230
45941,66229
66221,66223
66218,66223
66224,66223
53989,66214
53870,66207
53870,66205
53870,66201
53943,66198
46050,66183
45886,66139
45886,66133
51111,66109
30731,66109
53990,66016
53990,66009
65990,65991
51207,65948
45895,65945
30282,65945
60459,65916
45455,65847
65827,65833
45930,65833
45930,65810
30043,65701
56182,65560
45654,65541
45654,65529
30184,65403
57293,65369
65320,65322
65318,65322
65318,65320
65266,65320
65224,65320
65268,65318
65224,65318
65226,65244
65248,65303
65257,65303
65226,65303
65226,65248
65224,65248
65226,65257
65224,65252
65030,65224
65129,65144
65024,65028
60652,64961
60652,64955
60652,64936
60652,64935
53870,64866
30280,64843
30228,64843
45455,64838
30596,64820
30762,64791
60652,64736
60652,64738
60652,64732
60652,64731
38612,64666
60756,64597
64600,64597
45680,64579
45717,64577
53891,64575
53918,64459
53923,64456
53990,64444
45895,64425
64374,64421
64374,64417
64374,64413
64374,64412
64374,64411
64374,64408
64374,64398
64374,64397
64374,64395
64374,64394
64374,64392
64374,64390
64374,64384
64374,64372
30279,64364
50208,64360
30279,64360
45930,64357
56182,64337
53891,64335
53891,64328
53891,64326
53793,64319
53891,64317
45629,64290
27934,64290
46050,64283
45893,64283
45654,64279
45654,64280
53895,64275
60652,64262
60650,64260
45455,64249
30762,64247
64243,64244
30077,64244
30656,64244
30347,64113
34432,64092
57286,64085
30076,64082
30733,64015
55389,64015
56216,64008
56182,64006
56208,64006
56182,63986
56182,63976
60756,63910
60756,63908
53967,63908
60609,63908
56182,63865
56103,63865
56103,63859
56103,63855
56103,63853
57284,63842
56182,63842
56182,63814
60615,63781
60647,63781
60647,63780
60638,63769
60613,63769
53373,63769
45900,63769
30328,63692
56161,63681
56190,63681
56182,63624
56182,63619
56182,63595
56034,63595
60756,63352
60756,63353
57278,63337
63327,63328
43561,63328
30252,63328
60756,63327
56077,63327
56105,63319
63316,63319
63315,63319
56182,63671
56176,63671
56182,63307
56176,63307
63294,63298
56038,63255
40568,63228
30255,63228
30041,63228
37575,63228
45535,63225
56013,63225
40861,63225
30281,63225
46049,63207
53918,63196
30043,63150
45535,63124
62788,62791
30040,62791
37064,62788
30040,62788
11272,62788
11065,62788
8907,62788
60452,62777
60454,62722
60637,62712
60551,62708
56097,62708
55970,62708
60709,62707
46021,62707
45887,62707
62711,62707
30069,62707
62709,62707
43849,62691
60647,62684
53467,62684
31935,62684
60647,62666
52172,62666
60647,62661
60647,62656
62619,62620
60647,62610
30225,62610
64374,62610
51111,62607
53990,62601
60584,62591
30290,62591
43849,62493
38806,62493
30778,62493
46049,62493
60756,62446
60629,62446
60647,62446
53373,62446
45819,62446
45941,62446
39070,62446
39069,62446
30076,62446
30749,62446
27934,62446
53684,63176
53283,63176
53310,63176
50764,63176
45931,63176
54232,63176
45882,63176
45652,63176
46834,63176
45661,63176
53829,63176
45872,63176
45925,63176
